cfo,7 snr=0,13 snr=0,7 snr=100,13 snr=100
0,0.23327,0.24191,0.018103,0.039081
1.1181e-06,0.23538,0.23694,0.017976,0.035414
5.3103e-06,0.23918,0.23692,0.01806,0.039188
1.0189e-05,0.23874,0.23575,0.01821,0.036956
1.4834e-05,0.24022,0.23602,0.018791,0.036232
1.8153e-05,0.23719,0.23285,0.018642,0.036419
1.958e-05,0.23708,0.23703,0.018959,0.039757
2.4391e-05,0.23849,0.23621,0.019009,0.04168
3.1831e-05,0.23812,0.23594,0.0195,0.046626
3.5968e-05,0.236,0.23624,0.019322,0.043176
3.7658e-05,0.23837,0.23882,0.01901,0.038812
3.855e-05,0.23438,0.24008,0.019587,0.043133
4.095e-05,0.23469,0.23396,0.019609,0.040819
4.9948e-05,0.23561,0.23874,0.019575,0.045738
5.7884e-05,0.23169,0.236,0.02063,0.046557
6.4273e-05,0.23555,0.24032,0.020392,0.047295
7.1068e-05,0.23313,0.23583,0.020998,0.050857
7.2648e-05,0.23709,0.23514,0.020821,0.04829
8.1284e-05,0.23564,0.23466,0.02209,0.049629
8.3176e-05,0.23613,0.23769,0.021147,0.049737
8.7345e-05,0.23627,0.23928,0.02182,0.049184
9.5993e-05,0.23271,0.23645,0.021601,0.054338
0.00010281,0.23862,0.23769,0.022233,0.053148
0.00011121,0.23733,0.23936,0.022756,0.052601
0.00011376,0.23997,0.23172,0.02331,0.055735
0.00011819,0.23641,0.24174,0.022859,0.049518
0.000121,0.24203,0.24073,0.022562,0.055745
0.00012101,0.23647,0.23439,0.022702,0.056235
0.000122,0.23636,0.23357,0.02257,0.054862
0.00012405,0.23872,0.24156,0.022391,0.053517
0.00012917,0.2361,0.23642,0.023361,0.055785
0.00013765,0.24091,0.23728,0.024108,0.057481
0.00014694,0.236,0.23711,0.02504,0.059902
0.00015508,0.23615,0.23699,0.024365,0.058
0.00016309,0.23725,0.23749,0.024583,0.060596
0.0001722,0.23571,0.23105,0.025313,0.061419
0.00017781,0.23934,0.23336,0.024115,0.062335
0.00018039,0.2311,0.23518,0.025746,0.063915
0.00018686,0.24077,0.23834,0.025122,0.05944
0.00019468,0.23627,0.23735,0.02546,0.061955
0.00019692,0.23867,0.23757,0.025339,0.065964
0.00020349,0.23263,0.23815,0.026064,0.063803
0.00020803,0.23541,0.23646,0.026373,0.067575
0.00021595,0.24022,0.23543,0.026254,0.069244
0.00021634,0.23341,0.23669,0.026597,0.066149
0.00021751,0.23728,0.23586,0.026494,0.065823
0.00022254,0.23303,0.23493,0.027146,0.068419
0.00022421,0.2342,0.23881,0.026288,0.068742
0.00022447,0.23216,0.23377,0.028139,0.068799
0.00023358,0.2344,0.23474,0.028229,0.070129
0.00023961,0.23655,0.23849,0.028605,0.069086
0.00024105,0.23477,0.23551,0.027173,0.070301
0.00025025,0.23428,0.23825,0.028615,0.066267
0.00025032,0.23435,0.2387,0.028279,0.063888
0.00025343,0.23508,0.24006,0.028231,0.067463
0.00025354,0.23173,0.23792,0.028716,0.069234
0.00026188,0.23436,0.23621,0.027844,0.068829
0.0002659,0.23667,0.23342,0.028417,0.073347
0.00027048,0.23906,0.23475,0.028299,0.075713
0.00027829,0.23432,0.23898,0.029558,0.073731
0.00028018,0.23471,0.23617,0.030296,0.071773
0.00028812,0.238,0.23715,0.029589,0.071605
0.00029393,0.23764,0.23504,0.029925,0.066737
0.00030012,0.23523,0.23163,0.029612,0.076273
0.00030201,0.23697,0.23899,0.029823,0.079044
0.00030433,0.23395,0.24067,0.030981,0.074439
0.00030659,0.24298,0.23563,0.031567,0.073681
0.00030828,0.23869,0.23691,0.031307,0.07857
0.00030904,0.23758,0.23701,0.031536,0.069247
0.00031056,0.23851,0.23274,0.030957,0.075485
0.00031982,0.2345,0.23735,0.030591,0.080785
0.00032161,0.23533,0.23873,0.031093,0.076377
0.0003291,0.23827,0.23661,0.032667,0.076711
0.00033861,0.24079,0.23399,0.031254,0.074356
0.00033878,0.23741,0.23476,0.030868,0.077519
0.00034247,0.23565,0.23859,0.0327,0.070954
0.00034825,0.23574,0.23787,0.031639,0.078861
0.00035044,0.2371,0.2358,0.03246,0.08116
0.00035376,0.23808,0.2364,0.032464,0.079694
0.00036221,0.23671,0.23969,0.033877,0.077724
0.00037182,0.23742,0.23628,0.033899,0.080738
0.00037371,0.23527,0.23705,0.034628,0.083597
0.00037783,0.23858,0.23927,0.032639,0.083987
0.00038398,0.23576,0.23797,0.036133,0.076568
0.00039256,0.23714,0.23586,0.034352,0.088384
0.00039448,0.23433,0.23789,0.03558,0.080949
0.00040136,0.23582,0.23752,0.034347,0.077891
0.00041074,0.22944,0.23373,0.033375,0.082558
0.00041487,0.23904,0.23744,0.035252,0.083471
0.00041576,0.23684,0.23514,0.03631,0.085528
0.00042028,0.23934,0.23226,0.035609,0.085422
0.00042787,0.23543,0.23723,0.037503,0.080581
0.00042802,0.23582,0.23512,0.036604,0.083038
0.0004301,0.23225,0.23817,0.034896,0.086648
0.00043692,0.23641,0.23696,0.034355,0.083565
0.00044193,0.23339,0.23566,0.036118,0.084595
0.0004475,0.23661,0.23497,0.038018,0.087981
0.00044795,0.23768,0.23651,0.037285,0.08525
0.00044866,0.23804,0.23594,0.036828,0.084086
0.00045742,0.2352,0.23136,0.037343,0.084231
0.00046351,0.2329,0.23733,0.036152,0.084331
0.00048134,0.23969,0.23897,0.038839,0.083559
0.00048844,0.23824,0.23463,0.038272,0.086682
0.00051109,0.23415,0.23865,0.04147,0.081645
0.00055302,0.23451,0.23494,0.040691,0.083809
0.00057245,0.23297,0.23378,0.040475,0.082492
0.00061219,0.23753,0.23676,0.044511,0.081448
0.00062363,0.23473,0.23436,0.043897,0.081259
0.00062884,0.234,0.23465,0.044875,0.08309
0.00063217,0.23884,0.23963,0.046086,0.082752
0.00070256,0.23355,0.23964,0.049343,0.083203
0.0007798,0.23713,0.23861,0.051941,0.080779
0.00082653,0.23778,0.2331,0.053324,0.083109
0.00085147,0.23642,0.23791,0.055962,0.081454
0.00090975,0.23629,0.23712,0.057938,0.084774
0.00096754,0.23531,0.23567,0.056819,0.086132
0.00098419,0.23679,0.23812,0.059193,0.085715
0.0010546,0.23682,0.23828,0.058804,0.081654
0.0011495,0.23963,0.24119,0.058753,0.085155
0.001241,0.23287,0.23918,0.056436,0.081572
0.0012565,0.23478,0.23194,0.059473,0.084926
0.0012798,0.23415,0.23477,0.058429,0.084089
0.0013778,0.23735,0.238,0.058296,0.081143
0.0014162,0.2366,0.23537,0.056246,0.083068
0.001424,0.23775,0.23514,0.058228,0.08483
0.0014679,0.24144,0.24046,0.058165,0.086638
0.0015517,0.2386,0.23609,0.057398,0.086028
0.0015897,0.23826,0.23478,0.056288,0.08319
0.0016077,0.23643,0.23839,0.059282,0.085537
0.0016971,0.2387,0.23416,0.058006,0.085248
0.001797,0.23662,0.23857,0.058844,0.08378
0.0018919,0.23319,0.24056,0.060641,0.085333
0.0019583,0.23502,0.23883,0.060263,0.084579
0.001994,0.23389,0.2368,0.057408,0.081618
0.0019962,0.23876,0.23921,0.058514,0.084511
0.002074,0.23281,0.24031,0.060572,0.083221
0.0021549,0.23484,0.23583,0.059595,0.082705
0.0022004,0.23226,0.23668,0.057512,0.080043
0.0022071,0.23169,0.23613,0.05819,0.087559
0.0022151,0.23844,0.24015,0.060881,0.080401
0.0022274,0.23855,0.23665,0.061247,0.082906
0.0023088,0.23501,0.23767,0.058087,0.079664
0.0023982,0.23463,0.2366,0.056345,0.082243
0.0024263,0.23468,0.24108,0.057193,0.086626
0.002471,0.2359,0.23207,0.060149,0.086432
0.0025236,0.23229,0.24177,0.059927,0.086553
0.0025859,0.23544,0.23728,0.058395,0.083866
0.0026535,0.24123,0.23656,0.059903,0.08608
0.0026982,0.23869,0.23427,0.059217,0.079983
0.0027402,0.24102,0.23587,0.0583,0.079847
0.002815,0.23467,0.23657,0.058117,0.086097
0.0029039,0.23497,0.23714,0.059643,0.083467
0.002975,0.2403,0.23431,0.059567,0.085348
0.003067,0.2348,0.24008,0.059499,0.086751
0.0031296,0.23597,0.2338,0.058543,0.084104
0.0031332,0.235,0.23543,0.058534,0.084632
0.0031782,0.23763,0.23199,0.057949,0.086414
0.0031934,0.23651,0.24036,0.057686,0.082461
0.0032542,0.23893,0.2351,0.058676,0.083217
0.0032559,0.23571,0.23904,0.059935,0.08291
0.0033485,0.23538,0.22888,0.059014,0.08271
0.0033825,0.23327,0.2358,0.056869,0.083211
0.0034332,0.23941,0.23633,0.057378,0.081501
0.0034534,0.23736,0.23822,0.059486,0.083476
0.0034903,0.23974,0.23588,0.061627,0.083161
0.0035583,0.23688,0.23985,0.059584,0.083782
0.0035612,0.23713,0.2332,0.061242,0.08181
0.003602,0.23785,0.23643,0.056908,0.084563
0.0036312,0.23303,0.23845,0.058041,0.086389
0.0036382,0.23501,0.23699,0.058341,0.085392
0.0036885,0.23684,0.23601,0.057722,0.084124
0.0037111,0.23666,0.23852,0.056459,0.084535
0.0037281,0.23792,0.24063,0.060404,0.083696
0.0037902,0.23401,0.23994,0.058016,0.084684
0.0038148,0.23265,0.23534,0.059053,0.082519
0.0038531,0.23571,0.23998,0.057707,0.086873
0.0038572,0.23411,0.2365,0.057114,0.085802
0.0039338,0.23701,0.23253,0.060215,0.083578
0.0039584,0.23572,0.23504,0.05953,0.085396
0.004014,0.23725,0.23844,0.058016,0.084708
0.0040295,0.23293,0.23721,0.061011,0.084038
0.0040938,0.23922,0.23751,0.059537,0.082156
0.004154,0.23311,0.23897,0.057415,0.081058
0.0042128,0.23249,0.24163,0.059327,0.083501
0.0042911,0.23878,0.23988,0.05657,0.086438
0.00433,0.23997,0.23945,0.059151,0.081321
0.0044228,0.23521,0.23602,0.05729,0.082838
0.0044836,0.23309,0.23747,0.058686,0.082499
0.004549,0.2335,0.23878,0.059261,0.084132
0.004591,0.23593,0.24103,0.05849,0.082622
0.0046711,0.23578,0.23438,0.058663,0.084798
0.0046785,0.24073,0.23522,0.060572,0.082716
0.0047139,0.23368,0.23602,0.059576,0.081839
0.0047586,0.23492,0.23789,0.060367,0.083696
0.0047989,0.23513,0.23866,0.055867,0.08652
0.0048693,0.23495,0.23626,0.060438,0.08709
0.004906,0.23611,0.24025,0.061759,0.083052
0.0050047,0.23559,0.23785,0.057543,0.082502
0.0050611,0.23466,0.23835,0.059469,0.082377
0.0050726,0.23848,0.23225,0.057124,0.084629
0.0051552,0.23839,0.23598,0.057849,0.084677
0.0053008,0.23785,0.23377,0.058191,0.083504
0.0058235,0.23359,0.23604,0.055076,0.086265
