cfo,7 snr=0,13 snr=0,7 snr=100,13 snr=100
0.0016394,0.29823,0.29791,0.27195,0.28518
0.0017281,0.2988,0.29477,0.27401,0.29837
0.0017708,0.29938,0.29943,0.2644,0.29097
0.0018245,0.29912,0.30273,0.26436,0.2897
0.0018811,0.2961,0.29153,0.27227,0.29093
0.0019669,0.30065,0.2959,0.2688,0.30153
0.002061,0.29802,0.29425,0.27332,0.30035
0.0020823,0.29635,0.30033,0.2733,0.2959
0.002122,0.2987,0.29819,0.28019,0.29967
0.0022205,0.29724,0.29919,0.26331,0.29548
0.0022865,0.30064,0.29775,0.28147,0.28523
0.0023583,0.30024,0.29624,0.26812,0.29513
0.0024576,0.29866,0.29528,0.27341,0.30137
0.0025201,0.29802,0.29739,0.26054,0.28732
0.0025317,0.29837,0.29802,0.27225,0.28991
0.002614,0.29592,0.29344,0.27333,0.30126
0.0026496,0.29713,0.29639,0.27177,0.29571
0.0027123,0.29636,0.29446,0.27881,0.2969
0.0028064,0.30102,0.29831,0.27452,0.28167
0.0028597,0.29812,0.29947,0.27219,0.29498
0.0028975,0.29703,0.296,0.26927,0.29639
0.0029466,0.29066,0.30134,0.27933,0.29225
0.0029799,0.29948,0.30196,0.27844,0.29772
0.0030653,0.29894,0.2982,0.2718,0.2967
0.0030868,0.29904,0.29606,0.27177,0.28564
0.0031006,0.29526,0.29954,0.26683,0.29683
0.0031094,0.29737,0.2949,0.27576,0.29542
0.0031585,0.2965,0.29549,0.27677,0.30009
0.0031854,0.29074,0.3004,0.27192,0.29452
0.0032363,0.29676,0.29702,0.26709,0.28665
0.0033024,0.2941,0.29406,0.27117,0.29469
0.0033838,0.29931,0.2989,0.27315,0.28847
0.0034002,0.29856,0.29492,0.26392,0.29646
0.0034462,0.2998,0.2972,0.28604,0.2929
0.003504,0.30331,0.29757,0.26647,0.29916
0.0035771,0.30124,0.29816,0.27468,0.30474
0.0036183,0.29545,0.29472,0.29003,0.29837
0.0036788,0.29848,0.29742,0.27205,0.29081
0.0037741,0.29661,0.29713,0.27537,0.29658
0.0037793,0.2991,0.30043,0.27671,0.29104
0.0038076,0.30607,0.29104,0.27148,0.28991
0.0039026,0.29531,0.29553,0.26836,0.29532
0.0039389,0.29437,0.2958,0.26771,0.29678
0.0040121,0.29796,0.29495,0.26999,0.28975
0.0040791,0.29736,0.29641,0.2703,0.2937
0.0041286,0.29473,0.29428,0.26676,0.29648
0.0041763,0.30346,0.29862,0.26897,0.29259
0.0042696,0.29999,0.29846,0.27143,0.29748
0.0042789,0.30135,0.30026,0.27609,0.29329
0.004304,0.29814,0.30157,0.26895,0.30041
0.0043253,0.29702,0.29985,0.27408,0.29859
0.0043688,0.29719,0.29245,0.27497,0.29085
0.004371,0.2973,0.29454,0.27904,0.29827
0.0044524,0.29815,0.29762,0.27218,0.30245
0.0044797,0.3,0.30264,0.27582,0.29592
0.004509,0.29837,0.29804,0.27343,0.29103
0.0045462,0.29855,0.29552,0.2696,0.29564
0.0045617,0.29732,0.29818,0.27401,0.30034
0.0045975,0.30074,0.29644,0.28585,0.2972
0.0046534,0.30229,0.29751,0.26506,0.28929
0.0047331,0.29475,0.29243,0.27397,0.29019
0.0048289,0.29959,0.29953,0.28255,0.29123
0.0048889,0.29538,0.29214,0.27381,0.30137
0.0049179,0.30011,0.29515,0.27567,0.2831
0.004918,0.29471,0.29403,0.27045,0.29321
0.0049227,0.29641,0.29908,0.27301,0.30072
0.0049643,0.29797,0.30234,0.27845,0.29812
0.0050083,0.2953,0.29545,0.27483,0.29887
0.005032,0.29744,0.2952,0.27698,0.28839
0.0051267,0.29424,0.29907,0.27532,0.28689
0.0051822,0.29591,0.29777,0.26977,0.30177
0.0052301,0.3015,0.29818,0.26919,0.29526
0.0053137,0.29449,0.29825,0.28566,0.29304
0.0053546,0.29714,0.2981,0.27964,0.28515
0.0054271,0.2998,0.29548,0.26127,0.29946
0.0054741,0.29547,0.30126,0.25965,0.30106
0.0055603,0.29967,0.29682,0.28051,0.29648
0.0055842,0.30307,0.29726,0.27142,0.29612
0.0056194,0.30001,0.30106,0.25875,0.29113
0.0056605,0.29618,0.29791,0.26858,0.29382
0.0057206,0.29714,0.29711,0.25106,0.28265
0.006409,0.30057,0.29705,0.27765,0.29558
0.0066548,0.29955,0.2971,0.2749,0.28485
0.0067228,0.29832,0.29704,0.28173,0.29609
0.0075057,0.29906,0.30123,0.2746,0.29969
0.0075194,0.30018,0.29935,0.28215,0.29679
0.008162,0.29804,0.29246,0.28208,0.28765
0.0084941,0.29839,0.30033,0.2824,0.29692
0.0090205,0.29827,0.29496,0.27451,0.29295
0.0095519,0.2987,0.29535,0.26722,0.28758
0.0097996,0.29316,0.29535,0.26106,0.29112
0.010327,0.29906,0.29667,0.27149,0.29741
0.010814,0.30089,0.29838,0.26594,0.29427
0.010911,0.29936,0.29691,0.27208,0.29524
0.011528,0.29303,0.2956,0.26806,0.29789
0.012144,0.29298,0.29704,0.26519,0.29984
