cfo,7 snr=0,13 snr=0,7 snr=100,13 snr=100
0,0.23865,0.23779,0.19054,0.3525
1.6011e-06,0.23581,0.23296,0.19417,0.35882
4.6822e-06,0.23621,0.23629,0.15543,0.34759
1.006e-05,0.23444,0.23655,0.25656,0.35489
1.6021e-05,0.24011,0.23876,0.17979,0.3406
2.1155e-05,0.23649,0.23566,0.27918,0.34708
2.5685e-05,0.23615,0.23855,0.21181,0.36603
2.6285e-05,0.23407,0.23583,0.25172,0.36366
3.384e-05,0.23942,0.23293,0.22443,0.35104
3.897e-05,0.23734,0.23884,0.29004,0.35433
4.5437e-05,0.2387,0.23659,0.19723,0.34288
5.4999e-05,0.23807,0.23676,0.26351,0.34971
5.9745e-05,0.23488,0.23205,0.21343,0.3497
5.9756e-05,0.23823,0.23491,0.21486,0.35814
6.264e-05,0.23935,0.24012,0.2126,0.34656
6.7209e-05,0.23291,0.23646,0.29129,0.34628
7.5974e-05,0.23847,0.23682,0.26801,0.35963
7.8008e-05,0.23693,0.24291,0.21256,0.33539
7.8278e-05,0.23823,0.23671,0.18438,0.35963
8.0743e-05,0.23683,0.23834,0.14409,0.34725
8.3549e-05,0.24006,0.23609,0.19221,0.34782
8.8046e-05,0.23437,0.23583,0.22797,0.34984
9.5772e-05,0.23504,0.23429,0.21958,0.33881
9.6341e-05,0.23965,0.23629,0.21809,0.3355
0.00010396,0.23479,0.2361,0.29197,0.34919
0.00010919,0.23898,0.23507,0.29307,0.33858
0.00011541,0.23568,0.23746,0.21661,0.34248
0.00012001,0.2348,0.23952,0.21005,0.33497
0.00012556,0.23705,0.2335,0.25496,0.33217
0.00013274,0.23609,0.23943,0.21375,0.327
0.00014252,0.23862,0.23799,0.25687,0.336
0.00014836,0.23489,0.24378,0.15763,0.33838
0.00015429,0.23257,0.23985,0.22159,0.3446
0.00015845,0.23816,0.23144,0.22728,0.33517
0.00015884,0.23713,0.23798,0.22191,0.34079
0.00016872,0.24036,0.23689,0.27585,0.34992
0.00017856,0.23852,0.2361,0.28142,0.3406
0.00017984,0.23947,0.23905,0.25126,0.33956
0.00018004,0.23947,0.23197,0.23483,0.34944
0.00018015,0.23296,0.23733,0.23846,0.33276
0.00019014,0.23764,0.23667,0.26742,0.33372
0.00019254,0.2374,0.23612,0.22079,0.32485
0.00019905,0.23785,0.23753,0.25699,0.3375
0.00020531,0.23531,0.23388,0.18964,0.33296
0.00020761,0.23694,0.23468,0.22447,0.32669
0.00021037,0.23499,0.23574,0.17164,0.33408
0.00021645,0.237,0.23818,0.23399,0.33537
0.00022393,0.23896,0.23517,0.26029,0.32067
0.00022476,0.23826,0.23827,0.23074,0.33099
0.00023015,0.23633,0.23673,0.20521,0.32987
0.00023112,0.23572,0.23277,0.26127,0.33976
0.00023846,0.23318,0.23356,0.25742,0.32713
0.00024028,0.23357,0.2373,0.25195,0.33472
0.00024115,0.23512,0.23879,0.19471,0.33629
0.00024935,0.23603,0.2373,0.21367,0.32777
0.00025355,0.23694,0.23402,0.16213,0.33978
0.00026106,0.23995,0.2366,0.21307,0.3283
0.00026143,0.23598,0.24086,0.23688,0.33348
0.0002675,0.23604,0.23807,0.23488,0.31191
0.00026919,0.23483,0.23725,0.19468,0.32514
0.00027718,0.23424,0.23487,0.26896,0.32617
0.00028009,0.23355,0.23809,0.2367,0.33001
0.00028614,0.23585,0.23891,0.22126,0.32933
0.0002907,0.23488,0.23258,0.25009,0.32755
0.00029949,0.23783,0.23638,0.22757,0.3285
0.00030632,0.2369,0.24206,0.26723,0.32895
0.00030741,0.23713,0.23819,0.24917,0.32632
0.00031581,0.23673,0.23714,0.25442,0.3267
0.00032251,0.23106,0.23423,0.20118,0.33292
0.00033046,0.237,0.23968,0.27787,0.32295
0.00033455,0.23949,0.23495,0.21711,0.32085
0.00033708,0.23658,0.23678,0.24731,0.32885
0.00034565,0.23688,0.23834,0.27013,0.33507
0.00035044,0.23095,0.23347,0.24925,0.3284
0.00035969,0.23207,0.2394,0.28184,0.3258
0.00036654,0.23442,0.23799,0.28036,0.32809
0.0003682,0.23554,0.23581,0.24437,0.32161
0.00037018,0.23992,0.23861,0.27411,0.3243
0.00037639,0.23552,0.23792,0.25603,0.32927
0.00038487,0.23201,0.23511,0.26083,0.3221
0.00039138,0.24097,0.23684,0.26463,0.32567
0.0003992,0.23812,0.23837,0.25743,0.32669
0.00040031,0.23506,0.23189,0.26807,0.32879
0.0004103,0.23404,0.23968,0.28302,0.31751
0.00041176,0.23649,0.23587,0.26502,0.32651
0.00041532,0.23336,0.23694,0.23547,0.32686
0.00041608,0.23938,0.24042,0.24307,0.32226
0.00042579,0.23853,0.24302,0.27723,0.3327
0.00042968,0.23732,0.23731,0.26759,0.32673
0.00043571,0.23666,0.2363,0.28451,0.32043
0.00044564,0.24048,0.23933,0.28065,0.327
0.00044867,0.23809,0.23545,0.28575,0.32722
0.0004506,0.23651,0.23505,0.26916,0.32922
0.00045493,0.2389,0.23366,0.28882,0.32009
0.00046122,0.23783,0.24107,0.26909,0.32163
0.00046655,0.2349,0.23738,0.24947,0.32398
0.00046765,0.23801,0.23469,0.28429,0.32555
0.00046885,0.23497,0.23895,0.29852,0.32818
0.00047519,0.23382,0.23289,0.27437,0.3273
0.00048159,0.23914,0.2381,0.27004,0.32999
0.00048271,0.23613,0.23474,0.29522,0.3237
0.00052382,0.23533,0.23579,0.27852,0.32492
0.00054517,0.23663,0.23923,0.26738,0.32121
0.00063251,0.24054,0.23297,0.28763,0.32993
0.00070245,0.23947,0.23644,0.29143,0.32708
0.00080164,0.23984,0.23331,0.30662,0.32748
0.00081318,0.23653,0.2381,0.29182,0.3236
0.00081756,0.23906,0.2376,0.31879,0.32133
0.00084489,0.23762,0.24017,0.30544,0.32846
0.0008988,0.23881,0.23271,0.30947,0.32682
0.00096667,0.24045,0.23365,0.3096,0.32721
0.00099455,0.23439,0.23991,0.31989,0.32458
0.0010721,0.23785,0.23371,0.30327,0.32562
0.0011447,0.23626,0.23137,0.3027,0.32356
0.0012181,0.23377,0.23273,0.30615,0.31781
0.0012885,0.23411,0.23769,0.29872,0.32413
0.0012927,0.2312,0.23645,0.29927,0.31863
0.0013055,0.23533,0.23683,0.31602,0.32678
0.0013213,0.23731,0.23787,0.30321,0.32084
0.0014168,0.23488,0.23612,0.30113,0.32289
0.0014709,0.23416,0.23662,0.29864,0.32557
0.0015347,0.23837,0.23633,0.29956,0.32057
0.0015895,0.23956,0.23919,0.31241,0.32636
0.0015916,0.24061,0.23703,0.30617,0.32338
0.001655,0.23812,0.23922,0.30086,0.3275
0.0017314,0.23577,0.23491,0.31382,0.32412
0.0017932,0.23321,0.23874,0.30382,0.32163
0.0018675,0.23585,0.24036,0.31063,0.32216
0.0018932,0.23524,0.23305,0.30513,0.32701
0.0019922,0.23654,0.23415,0.32376,0.32687
0.0020783,0.23589,0.24001,0.31823,0.32138
0.0021783,0.23386,0.2398,0.30319,0.32061
0.0022175,0.23647,0.24055,0.31613,0.32644
0.0022231,0.23582,0.23781,0.31483,0.33035
0.002259,0.23844,0.23979,0.30687,0.31538
0.0023235,0.23273,0.23538,0.31832,0.3193
0.0023278,0.23653,0.23971,0.30289,0.32442
0.0023991,0.23643,0.23584,0.31217,0.32945
0.0024522,0.23439,0.23443,0.32138,0.3224
0.0025104,0.23562,0.23865,0.3005,0.32674
0.0026086,0.23456,0.23583,0.30069,0.33051
0.0026447,0.23323,0.23213,0.31243,0.32167
0.0027409,0.23305,0.23732,0.29487,0.32
0.002808,0.23394,0.23701,0.30172,0.31918
0.002837,0.23752,0.24182,0.30637,0.32827
0.0028984,0.23599,0.2373,0.3163,0.31643
0.0029164,0.23971,0.23607,0.3064,0.32451
0.0029679,0.23636,0.23614,0.30471,0.3279
0.0030201,0.23656,0.24009,0.30671,0.32724
0.0030986,0.23723,0.23487,0.31185,0.32731
0.0031352,0.23162,0.23603,0.30878,0.32837
0.0031453,0.23502,0.23408,0.30968,0.32591
0.0031822,0.23556,0.23964,0.31339,0.32762
0.0032039,0.23557,0.23745,0.31749,0.32166
0.0032547,0.23883,0.23351,0.31538,0.3275
0.0032799,0.23779,0.23496,0.30875,0.32365
0.0033111,0.23509,0.23366,0.30361,0.32557
0.0033143,0.23819,0.24093,0.31501,0.32137
0.003334,0.23863,0.23666,0.3158,0.32582
0.0033753,0.23463,0.23389,0.31215,0.32361
0.0034236,0.23836,0.23969,0.30564,0.32409
0.0034739,0.23713,0.23754,0.30991,0.32475
0.0035264,0.2383,0.23331,0.30093,0.32888
0.0036021,0.2357,0.24019,0.31104,0.3142
0.003652,0.2347,0.23377,0.29757,0.32507
0.0037495,0.23983,0.24041,0.31665,0.32703
0.0038428,0.23613,0.23781,0.30503,0.32519
0.0039157,0.23973,0.23665,0.31728,0.32696
0.0039659,0.23765,0.23826,0.31213,0.32189
0.0040478,0.23272,0.23648,0.30178,0.32827
0.0041105,0.23869,0.23252,0.30672,0.32472
0.0041588,0.23745,0.23769,0.31232,0.32683
0.0041622,0.23668,0.23767,0.30509,0.32078
0.0041856,0.23752,0.23676,0.30977,0.32505
0.0042787,0.23607,0.23563,0.32067,0.32849
0.0043104,0.23406,0.23822,0.31206,0.32677
0.0043493,0.23486,0.23668,0.30984,0.32318
0.0044055,0.23385,0.24144,0.31273,0.3236
0.0044762,0.23793,0.23402,0.31195,0.32142
0.0045543,0.23317,0.23779,0.30807,0.32387
0.0045853,0.24101,0.23455,0.30427,0.32652
0.0046617,0.23722,0.23686,0.31444,0.32575
0.0047592,0.23679,0.23973,0.31433,0.31869
0.0048034,0.23802,0.23472,0.30205,0.32424
0.0049021,0.23649,0.23354,0.30771,0.32648
0.0049368,0.23757,0.23274,0.31615,0.32904
0.0050105,0.23843,0.23424,0.3192,0.31784
0.0050863,0.23536,0.23808,0.30416,0.31692
0.0051428,0.23909,0.23605,0.30906,0.31626
0.0051955,0.23639,0.23922,0.30902,0.32127
0.0052041,0.23601,0.23489,0.31017,0.32374
0.0052086,0.23743,0.23746,0.31147,0.32646
0.0052175,0.23661,0.23657,0.31281,0.32671
0.0052925,0.23593,0.23408,0.28652,0.32438
0.0053599,0.23934,0.23919,0.29863,0.32235
0.0053618,0.23939,0.23598,0.31044,0.32669
0.0054578,0.2396,0.23744,0.31058,0.32545
0.0054939,0.23791,0.23586,0.30523,0.3262
0.0055794,0.23366,0.23367,0.29395,0.32134
0.0055919,0.23795,0.23762,0.30796,0.32147
0.0056031,0.23541,0.23534,0.30639,0.32683
0.0061373,0.23396,0.23449,0.30393,0.32197
0.0065919,0.23913,0.23383,0.29594,0.3209
0.0075204,0.23355,0.23695,0.29697,0.31366
0.007983,0.2351,0.23815,0.31392,0.32362
0.0083832,0.23741,0.23811,0.30958,0.31938
0.0087835,0.23561,0.23792,0.30707,0.32661
0.0090426,0.24025,0.23602,0.30915,0.32477
0.0098147,0.2416,0.23996,0.31099,0.31942
0.010684,0.2365,0.23424,0.31808,0.32178
0.010822,0.23583,0.2407,0.31035,0.33105
0.011598,0.23899,0.23104,0.31445,0.32044
0.011757,0.23309,0.23889,0.29092,0.31889
0.0119,0.2334,0.23555,0.31484,0.32512
0.01288,0.23525,0.23395,0.30421,0.32689
0.01384,0.23847,0.23521,0.31365,0.32507
0.014156,0.23471,0.23875,0.30222,0.32338
0.014632,0.23204,0.23973,0.31109,0.32311
0.015293,0.23205,0.24181,0.31196,0.31914
0.015536,0.23473,0.2353,0.30384,0.32718
0.016165,0.238,0.23513,0.30073,0.32079
0.016791,0.2392,0.23651,0.30439,0.32314
0.017564,0.24072,0.24102,0.32001,0.32412
0.018332,0.23619,0.22749,0.30261,0.32555
0.019176,0.23493,0.23634,0.29844,0.32946
0.01961,0.23461,0.23699,0.30709,0.32499
0.019848,0.23945,0.23806,0.30942,0.32195
0.020525,0.23991,0.2368,0.30021,0.31488
0.021456,0.23589,0.23764,0.31426,0.3216
0.022383,0.23396,0.23596,0.31439,0.32567
0.023274,0.23652,0.23331,0.30773,0.32659
0.023281,0.2385,0.23738,0.31004,0.31973
0.024213,0.24033,0.23358,0.31077,0.32733
0.024314,0.23881,0.23665,0.31927,0.32554
0.02443,0.23977,0.23854,0.31496,0.32659
0.024968,0.23994,0.23832,0.30583,0.32427
0.025752,0.23693,0.24009,0.30129,0.32355
0.025758,0.23523,0.23798,0.30774,0.32475
0.025867,0.23552,0.23073,0.29952,0.32263
0.026088,0.23603,0.23703,0.30793,0.32417
0.026129,0.23664,0.2389,0.32129,0.3242
0.027057,0.23661,0.23449,0.30582,0.32038
0.027355,0.23581,0.2364,0.32492,0.32406
0.027869,0.23393,0.24272,0.3059,0.32318
0.028215,0.23739,0.23587,0.30082,0.33032
0.028931,0.23707,0.23778,0.3147,0.32421
0.02897,0.23819,0.23583,0.30449,0.32581
0.029713,0.24034,0.23928,0.30692,0.32503
0.030424,0.23764,0.23436,0.30968,0.32166
0.031252,0.23118,0.23433,0.31597,0.31947
0.031823,0.23822,0.2338,0.31223,0.31898
0.032049,0.23512,0.23585,0.31488,0.32895
0.032713,0.23755,0.23892,0.31657,0.32119
0.03313,0.23329,0.23642,0.31068,0.32313
0.033278,0.23416,0.23154,0.30951,0.31603
0.03372,0.23618,0.23297,0.3127,0.32403
0.034178,0.23377,0.23561,0.30171,0.32601
0.034204,0.23176,0.23616,0.31336,0.31952
0.034546,0.23888,0.23457,0.31661,0.31732
0.035268,0.23946,0.23838,0.31718,0.31922
0.036013,0.23865,0.23909,0.31187,0.32431
0.036538,0.23575,0.23673,0.31187,0.32538
0.036794,0.23578,0.23685,0.30303,0.32295
0.037045,0.23886,0.23759,0.29967,0.32208
0.037295,0.23639,0.2401,0.30354,0.31988
0.037662,0.2378,0.22876,0.30341,0.32139
0.038509,0.23633,0.23611,0.31621,0.32703
0.038663,0.24057,0.2383,0.31506,0.32444
0.039238,0.23779,0.23721,0.31648,0.32597
0.0402,0.23282,0.23334,0.30714,0.32568
0.041134,0.23503,0.23791,0.31447,0.3237
0.041558,0.23549,0.23561,0.30949,0.32533
