cfo,7 snr=0,13 snr=0,7 snr=100,13 snr=100
0,0.23446,0.23814,0.66809,0.63108
3.6977e-06,0.22939,0.23841,0.72177,0.6361
1.2003e-05,0.23626,0.23758,0.74122,0.62545
1.3057e-05,0.23756,0.23574,0.64031,0.58309
2.0558e-05,0.23528,0.23378,0.68218,0.63658
2.266e-05,0.24058,0.23634,0.68954,0.62296
2.4856e-05,0.23599,0.23595,0.67647,0.58561
2.6328e-05,0.23865,0.23566,0.6699,0.57294
3.4894e-05,0.23659,0.2371,0.67715,0.59558
3.643e-05,0.23415,0.23576,0.62691,0.58291
3.712e-05,0.24032,0.23757,0.70704,0.62042
4.5464e-05,0.23722,0.23993,0.6924,0.60798
4.6788e-05,0.23428,0.23889,0.66367,0.57718
5.354e-05,0.23517,0.23858,0.6412,0.6042
6.3284e-05,0.23531,0.23646,0.6945,0.63323
6.686e-05,0.23983,0.2384,0.64915,0.57805
6.7674e-05,0.23959,0.23518,0.68324,0.58559
6.9429e-05,0.23647,0.23366,0.64367,0.58659
7.133e-05,0.23766,0.23396,0.66099,0.62089
7.8855e-05,0.23868,0.23723,0.74511,0.6227
8.5934e-05,0.23315,0.23127,0.64663,0.57361
8.607e-05,0.23678,0.23921,0.68988,0.59184
9.4056e-05,0.23384,0.23876,0.68202,0.6176
9.8592e-05,0.23183,0.23839,0.63669,0.57518
0.00010362,0.23302,0.23872,0.65176,0.57512
0.00011318,0.23578,0.2393,0.70113,0.60155
0.00011795,0.23509,0.2344,0.66726,0.59988
0.00012767,0.2382,0.23659,0.62319,0.57614
0.00012919,0.23228,0.2379,0.65297,0.59737
0.00012947,0.23377,0.23463,0.61096,0.5669
0.00013632,0.23718,0.23414,0.619,0.57561
0.00013982,0.23432,0.2316,0.63012,0.60135
0.00014178,0.23462,0.2372,0.70077,0.59971
0.00015078,0.23827,0.24111,0.73171,0.62163
0.00015195,0.2362,0.23736,0.63897,0.59822
0.00015234,0.23917,0.24231,0.67704,0.61093
0.00015917,0.23722,0.23639,0.61025,0.57225
0.00016741,0.23175,0.23901,0.65972,0.60214
0.00017666,0.23661,0.23344,0.62028,0.5866
0.00017905,0.23721,0.23742,0.61636,0.57847
