cfo,7 snr=0,13 snr=0,7 snr=100,13 snr=100
0,0.23631,0.23615,0.54327,0.41262
2.3731e-06,0.23918,0.23746,0.57105,0.43954
8.6527e-06,0.23835,0.23798,0.54249,0.4086
1.5858e-05,0.23768,0.23393,0.56734,0.43829
2.4011e-05,0.23398,0.2372,0.53646,0.44268
3.1567e-05,0.23493,0.23561,0.49356,0.41203
3.5815e-05,0.23888,0.23883,0.51359,0.40413
3.8453e-05,0.23865,0.23496,0.54046,0.41641
4.7025e-05,0.23393,0.23486,0.52918,0.43143
4.7436e-05,0.23519,0.23738,0.52582,0.41255
5.5011e-05,0.24253,0.23621,0.4702,0.40218
5.8909e-05,0.23617,0.23523,0.51395,0.405
6.6868e-05,0.23745,0.237,0.50206,0.40876
7.662e-05,0.23712,0.24021,0.445,0.4034
8.0483e-05,0.23336,0.23789,0.52145,0.40603
8.226e-05,0.23566,0.23687,0.51243,0.40454
9.1411e-05,0.23231,0.2392,0.46959,0.41701
9.4388e-05,0.23973,0.23769,0.45716,0.41018
0.00010063,0.23902,0.23723,0.49226,0.40384
0.00010372,0.23876,0.23281,0.51865,0.40061
0.00011013,0.23472,0.23402,0.48665,0.40906
0.00011284,0.23413,0.23953,0.41953,0.41072
0.00011767,0.24076,0.23603,0.52421,0.41222
0.00012659,0.23691,0.23986,0.50447,0.4033
0.00012777,0.23289,0.23497,0.50424,0.42568
0.00013221,0.23619,0.23177,0.48436,0.42492
0.00014199,0.23621,0.23773,0.4054,0.40458
0.00014707,0.23198,0.23376,0.46209,0.4139
0.00014942,0.23561,0.23347,0.46467,0.40839
0.00015204,0.23739,0.23609,0.45598,0.4053
0.00015978,0.23862,0.23691,0.42018,0.40088
0.0001694,0.23855,0.23634,0.47688,0.40976
0.0001708,0.23443,0.2334,0.50768,0.41877
0.00017969,0.23843,0.23596,0.46291,0.405
0.00018038,0.23608,0.2369,0.43456,0.40715
0.00018745,0.23494,0.23931,0.48025,0.41718
0.00019552,0.23737,0.23887,0.48075,0.42231
0.00020235,0.23811,0.23595,0.45959,0.41046
0.0002061,0.2325,0.2363,0.47485,0.41735
0.0002151,0.24021,0.23493,0.42001,0.40603
0.00022198,0.23792,0.23778,0.41535,0.40303
0.00022689,0.23584,0.2327,0.43383,0.41868
0.00023016,0.23652,0.23555,0.43046,0.42071
0.00023746,0.23625,0.23987,0.43058,0.40405
0.00024459,0.23275,0.23658,0.42973,0.42018
0.00025335,0.23356,0.23808,0.41134,0.39919
0.00026006,0.23483,0.23584,0.45896,0.42406
0.00026799,0.23508,0.23915,0.42431,0.41522
0.00027731,0.23547,0.23333,0.41169,0.40524
0.00028316,0.23733,0.23457,0.4095,0.4022
0.00028814,0.23478,0.23756,0.42755,0.41327
0.00028814,0.23567,0.23923,0.39827,0.40938
0.00029305,0.2376,0.23747,0.40065,0.4197
