cfo,7 snr=0,13 snr=0,7 snr=100,13 snr=100
0,0.23929,0.23297,0.017502,0.31037
4.9656e-06,0.23376,0.23875,0.019806,0.29144
1.175e-05,0.23677,0.23558,0.023567,0.28344
1.2882e-05,0.23652,0.23243,0.049854,0.28554
1.8759e-05,0.2373,0.23852,0.02622,0.28862
2.3739e-05,0.23809,0.23367,0.028929,0.29199
2.8377e-05,0.23545,0.23325,0.053412,0.29317
3.6897e-05,0.23703,0.2347,0.033754,0.277
3.8481e-05,0.23941,0.23304,0.059933,0.27074
4.0473e-05,0.23645,0.23536,0.034966,0.28566
4.2562e-05,0.23413,0.23864,0.052307,0.29283
4.4691e-05,0.23632,0.23348,0.038462,0.29183
5.3984e-05,0.24015,0.23664,0.04004,0.28113
5.8793e-05,0.23796,0.23576,0.043913,0.29137
6.3432e-05,0.23711,0.23734,0.053446,0.28793
6.6503e-05,0.23834,0.23678,0.04521,0.27746
6.8655e-05,0.23402,0.23919,0.04715,0.272
6.9181e-05,0.24091,0.23523,0.047453,0.27212
7.5099e-05,0.23565,0.23852,0.050161,0.26861
7.7245e-05,0.23886,0.24183,0.050162,0.27758
8.6282e-05,0.23826,0.23573,0.055633,0.28826
8.7257e-05,0.23653,0.23343,0.054988,0.264
9.6399e-05,0.23474,0.23829,0.062486,0.26869
0.00010559,0.23735,0.24016,0.064571,0.27272
0.00010993,0.23286,0.23543,0.065501,0.27838
0.00011154,0.23411,0.23823,0.064153,0.25679
0.00011645,0.24024,0.23316,0.070325,0.26837
0.0001227,0.23758,0.24333,0.066374,0.2837
0.00012814,0.23592,0.23964,0.074467,0.27941
0.00013728,0.23487,0.2354,0.079484,0.25786
0.00013998,0.23845,0.23439,0.083534,0.27274
0.00014011,0.23274,0.23973,0.077825,0.27731
0.00014988,0.23533,0.23755,0.079683,0.24963
0.00015537,0.23552,0.23463,0.083766,0.26787
0.00015549,0.23241,0.23809,0.0776,0.27541
0.00016209,0.2362,0.23618,0.084093,0.26434
0.00017134,0.23816,0.23578,0.091837,0.25641
0.00017177,0.23968,0.23439,0.08936,0.2634
0.00017484,0.23759,0.23751,0.10145,0.25863
0.00017896,0.23912,0.233,0.090024,0.26215
0.00018896,0.2362,0.23714,0.098848,0.26368
0.00019527,0.23359,0.23409,0.096054,0.26386
0.00019975,0.24169,0.23552,0.10697,0.25011
0.0002005,0.23674,0.23593,0.09772,0.24821
0.00020684,0.23223,0.23674,0.10153,0.25124
0.00021585,0.2399,0.23463,0.12406,0.25771
0.00022419,0.23359,0.2356,0.11028,0.25576
0.0002296,0.23675,0.2382,0.1144,0.25501
0.00023945,0.23343,0.23747,0.1041,0.27829
0.00024173,0.23886,0.23494,0.12263,0.2454
0.00024796,0.23444,0.23702,0.12687,0.27906
0.0002561,0.24008,0.23746,0.12693,0.26302
0.00025989,0.23959,0.23527,0.12901,0.25042
0.00026466,0.23634,0.23753,0.12643,0.26715
0.00026563,0.23585,0.23478,0.12261,0.25973
0.00027337,0.24091,0.23796,0.13093,0.26006
0.00028056,0.24291,0.23729,0.13842,0.25372
0.00028923,0.23421,0.23554,0.14105,0.24662
0.00029813,0.23243,0.23362,0.12771,0.267
0.00030109,0.23657,0.23389,0.11647,0.26131
0.0003098,0.23328,0.23869,0.1449,0.26797
0.00031076,0.23939,0.23751,0.13739,0.2592
0.00031791,0.23874,0.2365,0.1286,0.26269
0.00032424,0.23467,0.23359,0.1331,0.25954
0.00032923,0.23844,0.24003,0.15597,0.26386
0.00033326,0.23832,0.23858,0.1568,0.26438
0.0003348,0.23319,0.23909,0.15789,0.24999
0.00034058,0.23308,0.23589,0.17411,0.26082
0.00034597,0.23918,0.23635,0.15795,0.26152
0.00034784,0.2392,0.23369,0.16954,0.27383
0.00034828,0.23995,0.23195,0.15535,0.26268
0.00035057,0.23561,0.23348,0.16241,0.24938
0.00035811,0.23458,0.23839,0.1509,0.25875
0.00036489,0.24015,0.23577,0.15573,0.25565
0.00037283,0.23402,0.23732,0.15037,0.26077
0.00037473,0.23663,0.23919,0.16755,0.26302
0.00037743,0.23924,0.23295,0.17145,0.25322
0.00038626,0.23632,0.23517,0.17232,0.25706
0.00039319,0.23634,0.23333,0.17262,0.26707
0.00040136,0.23606,0.2369,0.17885,0.264
0.00040355,0.23538,0.23404,0.17949,0.26131
0.00040922,0.23366,0.23402,0.17285,0.26456
0.00041448,0.23614,0.23822,0.17211,0.25383
0.00042254,0.23788,0.23381,0.16279,0.26091
0.00043103,0.23399,0.24023,0.16065,0.25202
0.00044066,0.23772,0.23298,0.18908,0.26676
0.00044096,0.23183,0.23903,0.19191,0.26473
0.00045,0.23834,0.23782,0.18048,0.25513
0.00045686,0.23779,0.23612,0.18286,0.25739
0.00046355,0.23724,0.23669,0.18724,0.25453
0.00047215,0.23609,0.23863,0.19472,0.25987
0.00048109,0.2369,0.23483,0.1924,0.25574
0.00048283,0.23673,0.24049,0.16499,0.25975
0.00048752,0.23608,0.23635,0.1782,0.26776
0.00049299,0.23928,0.23477,0.17225,0.25957
0.00049719,0.23611,0.23301,0.18238,0.25911
0.00049734,0.24072,0.23943,0.1841,0.26028
0.00050128,0.23723,0.2335,0.18406,0.2598
0.00050831,0.23326,0.23511,0.1913,0.26095
0.00051356,0.23618,0.23588,0.1767,0.26008
0.00052293,0.23821,0.23949,0.19477,0.2615
0.00059339,0.23488,0.23527,0.21297,0.2543
0.0006191,0.23836,0.23867,0.19607,0.26083
0.00069963,0.23682,0.23538,0.20085,0.25966
0.00078833,0.23709,0.23491,0.23356,0.26202
0.00084894,0.23624,0.23972,0.23682,0.26425
0.00087099,0.23192,0.2371,0.23544,0.25565
0.00096514,0.24215,0.23755,0.24448,0.26131
0.00098086,0.23752,0.24007,0.22393,0.26295
0.00099683,0.23849,0.23743,0.22791,0.25815
0.0010475,0.23568,0.23271,0.23062,0.26123
0.0011066,0.23613,0.23882,0.23562,0.2498
