cfo,7 snr=0,13 snr=0,7 snr=100,13 snr=100
0,0.19873,0.19591,0.018683,0.2109
7.0706e-06,0.19589,0.19971,0.019871,0.20241
1.1749e-05,0.20141,0.19786,0.020101,0.20301
1.531e-05,0.1986,0.19622,0.02019,0.20309
2.4304e-05,0.20003,0.19593,0.022048,0.13935
2.47e-05,0.19935,0.19893,0.022079,0.15655
2.7781e-05,0.19511,0.19938,0.022608,0.14216
2.9389e-05,0.20108,0.19588,0.022952,0.18359
3.2068e-05,0.19727,0.19565,0.023441,0.15255
3.9212e-05,0.19619,0.19798,0.024613,0.1383
4.7878e-05,0.19852,0.19432,0.026509,0.14254
5.222e-05,0.19771,0.19669,0.027982,0.18666
6.0285e-05,0.19877,0.19678,0.028814,0.16988
6.5702e-05,0.19614,0.19584,0.029714,0.15832
6.8744e-05,0.19532,0.20028,0.031022,0.16201
7.6627e-05,0.19272,0.19723,0.030674,0.18189
7.975e-05,0.20037,0.19257,0.032555,0.15927
8.3138e-05,0.19935,0.19997,0.032896,0.13388
8.8473e-05,0.19391,0.19762,0.03404,0.17783
9.7981e-05,0.19678,0.19564,0.034538,0.14805
0.00010012,0.19847,0.20007,0.034962,0.13947
0.00010968,0.19792,0.19603,0.035778,0.17105
0.00011289,0.20083,0.1976,0.037856,0.16373
0.00011455,0.19911,0.19835,0.037882,0.17412
0.00012021,0.19661,0.19726,0.037734,0.1429
0.00012751,0.19729,0.19603,0.039869,0.15114
0.00013575,0.19522,0.19417,0.043831,0.16447
0.00014006,0.20185,0.19866,0.040631,0.17247
0.00014145,0.19674,0.19657,0.043701,0.16609
0.00014475,0.19764,0.19754,0.044579,0.17744
0.00015023,0.19932,0.197,0.041992,0.15037
0.00015249,0.1958,0.19607,0.044171,0.16731
0.00015485,0.19887,0.20487,0.045954,0.16685
0.00015695,0.20019,0.20138,0.048013,0.16536
0.00015739,0.19316,0.19715,0.046007,0.16718
0.0001619,0.20061,0.19362,0.045217,0.16228
0.00016626,0.20135,0.20219,0.048795,0.14656
0.00016725,0.19929,0.19613,0.045955,0.17051
0.00017421,0.196,0.19776,0.044905,0.16356
0.0001802,0.1985,0.19793,0.048357,0.16201
0.00018077,0.19656,0.19639,0.047781,0.16248
0.00018733,0.19732,0.20193,0.052271,0.1709
0.00019716,0.19936,0.1956,0.052287,0.16558
0.00019878,0.19204,0.19301,0.051002,0.1664
0.00020489,0.19748,0.19789,0.050912,0.16786
0.00020852,0.20224,0.19249,0.051543,0.1689
0.00021756,0.19563,0.19714,0.051012,0.17161
0.00021795,0.19848,0.1979,0.059126,0.16528
0.00021862,0.19874,0.19911,0.053199,0.16517
0.00021961,0.19224,0.19624,0.054749,0.16184
0.00022736,0.20127,0.196,0.058921,0.16203
0.00022875,0.19557,0.19903,0.057957,0.17062
0.00023089,0.19617,0.19499,0.055974,0.15833
0.0002373,0.19665,0.1972,0.060994,0.15595
0.00024718,0.19825,0.19654,0.059249,0.16198
0.00024922,0.19378,0.19304,0.065361,0.15544
0.00025227,0.19852,0.19836,0.060945,0.15979
0.00025935,0.19818,0.19992,0.065824,0.14846
0.00026403,0.19786,0.1974,0.060111,0.16753
0.00026773,0.1965,0.19672,0.060829,0.17137
0.00027618,0.19773,0.19991,0.066784,0.15898
0.00028148,0.19865,0.19864,0.067228,0.16064
0.00029023,0.20027,0.19703,0.068104,0.15996
0.00029907,0.19412,0.19464,0.067811,0.16192
0.00030872,0.19694,0.19898,0.074284,0.15843
0.00031604,0.19523,0.1969,0.073164,0.15999
0.00032065,0.19855,0.19868,0.072093,0.16653
0.00032298,0.19485,0.20106,0.075215,0.17313
0.0003255,0.19885,0.19424,0.07831,0.16398
0.00033549,0.19918,0.19563,0.079,0.15753
0.00034296,0.19872,0.20116,0.077392,0.16936
0.00034937,0.19677,0.20059,0.084769,0.15597
0.00035561,0.19483,0.19972,0.078661,0.16983
0.00035731,0.19837,0.19798,0.072897,0.16927
0.00036087,0.19503,0.20131,0.080911,0.16017
0.00036355,0.19588,0.19926,0.081225,0.16569
0.0003652,0.19514,0.1965,0.08039,0.16286
0.00036688,0.19563,0.19852,0.085899,0.16518
0.00037496,0.20062,0.19491,0.07826,0.17168
0.00038021,0.19543,0.19921,0.088221,0.16522
0.00038047,0.20041,0.19757,0.078146,0.17216
0.00038756,0.19725,0.20225,0.084203,0.16246
0.0003928,0.20117,0.19906,0.082108,0.16764
0.00039916,0.19648,0.19148,0.090165,0.16671
0.00039979,0.19913,0.19872,0.090367,0.16728
0.00040292,0.19691,0.19891,0.083489,0.17311
0.00040308,0.19382,0.19461,0.091009,0.16751
0.00040665,0.19691,0.19405,0.082698,0.1775
0.00041583,0.19765,0.19497,0.091056,0.16934
0.00042512,0.19858,0.19906,0.090518,0.16466
0.0004261,0.1988,0.20108,0.08974,0.16346
0.00042785,0.19978,0.20243,0.095317,0.17132
0.00043168,0.20088,0.19412,0.094303,0.17059
0.00044116,0.19986,0.19929,0.091883,0.17408
0.00044251,0.19831,0.19969,0.09286,0.17115
0.00044832,0.19985,0.19838,0.087021,0.16745
0.00045661,0.19515,0.19293,0.095795,0.17092
0.00046327,0.19717,0.19643,0.093339,0.17962
0.00047163,0.19911,0.19718,0.09428,0.17399
0.00047674,0.2013,0.19773,0.095558,0.16388
0.00048349,0.1964,0.19554,0.099419,0.16512
0.00058234,0.19515,0.19709,0.10682,0.17873
0.00063156,0.19577,0.1956,0.11446,0.16724
0.00069552,0.19757,0.19187,0.11215,0.16132
0.00078335,0.19687,0.19828,0.12115,0.16462
0.00081109,0.19572,0.19605,0.13372,0.17277
0.00089487,0.19726,0.19567,0.13374,0.16958
0.0009327,0.19962,0.19579,0.1361,0.1736
0.00101,0.19594,0.19569,0.13675,0.17209
0.0011054,0.19801,0.19731,0.14215,0.16726
0.0011585,0.20134,0.19729,0.13899,0.17303
0.001192,0.19684,0.19583,0.13422,0.17078
0.0012672,0.19978,0.19777,0.1414,0.17324
0.0013542,0.19895,0.19844,0.1362,0.17254
0.00139,0.19918,0.19721,0.13223,0.16552
0.0014588,0.19145,0.20149,0.13616,0.17284
0.0014834,0.19635,0.2004,0.13,0.1672
0.0015654,0.19983,0.19985,0.13154,0.16986
0.0016432,0.19905,0.20018,0.13889,0.16511
0.0016754,0.19852,0.19612,0.13674,0.16396
0.0017335,0.19774,0.1984,0.14334,0.16998
0.0018087,0.20027,0.19887,0.13841,0.17475
0.0018441,0.19492,0.1961,0.13576,0.1724
0.00193,0.20076,0.19594,0.14066,0.16615
0.0019444,0.19859,0.1996,0.14035,0.17254
0.0020233,0.19836,0.19953,0.14062,0.16961
0.0020848,0.19628,0.20096,0.145,0.17559
0.0021473,0.1979,0.19728,0.13769,0.17188
0.002182,0.20161,0.19124,0.14197,0.17322
0.0022307,0.19705,0.19739,0.14012,0.16533
0.0023049,0.19921,0.19978,0.13746,0.16809
0.0023816,0.19838,0.19693,0.14247,0.16889
0.0024744,0.19845,0.19786,0.14298,0.16442
0.0025673,0.19527,0.19822,0.13445,0.17105
0.0025728,0.19602,0.19585,0.13518,0.1762
0.0026705,0.20193,0.19928,0.13353,0.1721
0.0026846,0.19781,0.19755,0.13246,0.16476
0.0027583,0.19632,0.19523,0.14025,0.17196
0.0028381,0.19766,0.19501,0.13285,0.16812
0.0028506,0.19976,0.20046,0.13541,0.17415
0.0029344,0.20107,0.19992,0.14342,0.17905
0.0029605,0.19648,0.19462,0.14156,0.16447
0.0029617,0.19417,0.19446,0.13916,0.1692
0.0029645,0.19574,0.1984,0.13956,0.16946
0.003016,0.19638,0.19688,0.13663,0.17208
0.0030289,0.19435,0.19888,0.13778,0.17303
0.0030365,0.19315,0.19905,0.14395,0.17089
0.0031076,0.19501,0.19724,0.1391,0.17535
0.0031478,0.19613,0.20287,0.1428,0.17235
0.0032431,0.19228,0.19086,0.14093,0.16222
0.0032864,0.19406,0.19797,0.13575,0.16824
0.0033,0.19677,0.19796,0.13923,0.17702
0.0033091,0.19888,0.19559,0.14146,0.168
