cfo,7 snr=0,13 snr=0,7 snr=100,13 snr=100
0,0.2003,0.19902,0.01795,0.041594
8.9204e-06,0.19913,0.1943,0.018014,0.066895
1.0632e-05,0.19634,0.19567,0.018576,0.05527
1.2527e-05,0.19824,0.19895,0.018939,0.049762
1.9978e-05,0.19973,0.19541,0.019424,0.059057
2.4781e-05,0.19366,0.1984,0.019653,0.052584
3.1173e-05,0.19782,0.19975,0.020691,0.069052
3.8085e-05,0.19746,0.19778,0.021006,0.061639
4.0868e-05,0.20046,0.2003,0.021288,0.053868
4.6018e-05,0.19908,0.19695,0.021914,0.065952
4.7571e-05,0.2005,0.19639,0.021966,0.074324
4.9822e-05,0.19412,0.19928,0.021617,0.064979
5.1112e-05,0.19491,0.19558,0.021681,0.069008
5.5079e-05,0.19917,0.19961,0.022021,0.069327
6.4345e-05,0.19862,0.19421,0.022448,0.063716
6.9375e-05,0.19919,0.19466,0.023785,0.07349
7.9345e-05,0.19949,0.19812,0.024766,0.074334
8.2334e-05,0.19649,0.19814,0.024664,0.06757
9.0357e-05,0.19848,0.19605,0.024958,0.076291
9.3092e-05,0.19631,0.1999,0.025169,0.074606
0.00010177,0.19677,0.19671,0.025755,0.0772
0.00010911,0.19687,0.19431,0.025908,0.069564
0.00011379,0.19514,0.19947,0.026927,0.07943
0.00011937,0.19452,0.18953,0.027424,0.080122
0.00012486,0.19667,0.19226,0.027422,0.080837
0.00012599,0.20132,0.19251,0.02737,0.087533
0.0001328,0.19882,0.19575,0.027795,0.08327
0.00014098,0.1958,0.19877,0.027708,0.074774
0.0001428,0.19579,0.20001,0.028987,0.084889
0.00014313,0.19808,0.2017,0.028972,0.07861
0.00014498,0.19825,0.20117,0.028838,0.085149
0.00014937,0.20244,0.19763,0.029908,0.085462
0.00015041,0.19716,0.19063,0.02972,0.079202
0.00015356,0.19605,0.20007,0.029121,0.081477
0.00015554,0.19594,0.19647,0.030453,0.084237
0.00016352,0.19796,0.20114,0.031069,0.087786
0.00016597,0.1956,0.1939,0.030576,0.087427
0.00016701,0.19887,0.19221,0.029525,0.083622
0.00017069,0.19723,0.19875,0.030855,0.083367
0.00018003,0.1997,0.1951,0.030643,0.087769
0.00018052,0.1953,0.19761,0.032847,0.080138
0.00018545,0.19521,0.19648,0.031732,0.091148
0.0001865,0.19405,0.19593,0.032488,0.083457
0.00019511,0.20336,0.2006,0.032226,0.093667
0.00019654,0.19794,0.19743,0.032684,0.082205
0.00019718,0.1972,0.19398,0.033455,0.085612
0.00020535,0.19602,0.19627,0.033832,0.095662
0.00020685,0.19798,0.19477,0.032741,0.097879
0.0002136,0.19477,0.19536,0.033503,0.094477
0.00022224,0.20002,0.19743,0.034256,0.10093
0.00023151,0.196,0.19586,0.035107,0.096148
0.00023678,0.19631,0.19882,0.036416,0.09911
0.00024552,0.19797,0.20056,0.036458,0.095594
0.00024632,0.19746,0.19513,0.037388,0.095907
0.00025072,0.1972,0.19709,0.037114,0.10068
0.00025335,0.19422,0.19631,0.036396,0.10155
0.0002558,0.19816,0.20076,0.038245,0.098215
0.00026238,0.19876,0.19908,0.036981,0.1002
0.00027205,0.19459,0.2,0.038708,0.10704
0.0002772,0.20046,0.19356,0.039088,0.098032
0.00028117,0.195,0.19528,0.04027,0.10367
0.00028801,0.19768,0.19219,0.038837,0.10508
0.00029715,0.19714,0.19804,0.042679,0.1034
0.00030103,0.19177,0.19558,0.041004,0.10542
0.00030692,0.19848,0.20081,0.041883,0.098583
0.0003124,0.19681,0.19809,0.041818,0.10597
0.00031566,0.19373,0.19332,0.040398,0.10242
0.00032307,0.20095,0.19597,0.041758,0.10694
0.00033051,0.19796,0.19397,0.043116,0.10076
0.00033155,0.20161,0.19671,0.043364,0.096148
0.00033956,0.19866,0.20005,0.044315,0.1091
0.00034773,0.19701,0.19378,0.045545,0.11002
0.00035641,0.19666,0.1962,0.041843,0.11154
0.00035846,0.19737,0.19604,0.04533,0.11136
0.00036531,0.2004,0.19728,0.045884,0.10581
0.00036972,0.19719,0.19841,0.043136,0.10706
0.00037966,0.19888,0.19847,0.044944,0.10963
0.00037995,0.19726,0.19731,0.045786,0.10412
0.00038326,0.19741,0.19766,0.047962,0.10696
0.00039014,0.19535,0.19664,0.049015,0.10892
0.00039451,0.19639,0.19656,0.045404,0.10985
0.00040314,0.20138,0.19664,0.048064,0.11176
0.00041014,0.19856,0.1968,0.048049,0.10985
0.00041525,0.19899,0.19865,0.048154,0.1112
0.00041857,0.20008,0.19438,0.046885,0.10887
0.00042414,0.2003,0.19686,0.050653,0.11009
0.00042704,0.19542,0.19992,0.050061,0.10828
0.00043006,0.1975,0.20123,0.049761,0.10671
0.00043209,0.19964,0.19645,0.050165,0.1063
0.00043902,0.19907,0.1935,0.050605,0.11288
0.00044525,0.19812,0.19726,0.049636,0.11012
0.000448,0.19812,0.1922,0.050944,0.10902
0.00044837,0.1996,0.19729,0.051493,0.11439
0.00045618,0.1949,0.19577,0.053535,0.11215
0.00046341,0.20109,0.19709,0.054925,0.10907
0.00047141,0.20118,0.19741,0.053122,0.11495
0.0004765,0.19664,0.20166,0.053446,0.1132
0.00048199,0.19796,0.19464,0.052231,0.11295
0.00048595,0.19681,0.19544,0.05489,0.11367
0.00049227,0.20201,0.19816,0.05393,0.11044
0.00049668,0.19782,0.19908,0.055806,0.10959
0.00054578,0.20081,0.19984,0.057661,0.11371
0.00055989,0.19752,0.19481,0.057494,0.1154
0.00065898,0.19311,0.19192,0.065256,0.10744
0.00075371,0.19641,0.1982,0.073803,0.10952
0.0007964,0.19642,0.19667,0.077136,0.11274
0.00087865,0.19579,0.19917,0.080834,0.10969
0.00088759,0.20116,0.19623,0.079068,0.1101
0.00096024,0.19774,0.19378,0.086402,0.1073
0.0010002,0.1994,0.19599,0.082431,0.1111
0.0010054,0.19951,0.19953,0.083723,0.11375
0.001024,0.19836,0.19174,0.082853,0.11214
0.0011136,0.19626,0.19953,0.083269,0.10788
0.0011373,0.20096,0.19878,0.080574,0.11048
0.0012087,0.19747,0.20316,0.080699,0.11114
0.001251,0.19998,0.19869,0.083282,0.1109
0.0012758,0.19814,0.19903,0.081923,0.1137
0.0013556,0.20097,0.19616,0.080837,0.11464
0.0013831,0.19509,0.19866,0.079405,0.1102
0.0014183,0.1962,0.19805,0.079665,0.11333
0.0015152,0.20025,0.19686,0.080252,0.1132
0.0015905,0.19423,0.19748,0.080042,0.10981
0.0016827,0.19746,0.19862,0.08041,0.11728
0.0017398,0.19594,0.19792,0.082056,0.10954
0.0018267,0.19768,0.19521,0.082148,0.10982
0.0018933,0.19576,0.19908,0.08505,0.11139
0.0019177,0.19925,0.20133,0.081111,0.10854
0.002014,0.19904,0.20009,0.084438,0.11196
0.0020235,0.19676,0.20029,0.084017,0.11013
0.0020977,0.19835,0.19729,0.084035,0.1109
0.0021563,0.19758,0.19377,0.082185,0.10733
0.0021839,0.19597,0.19989,0.081551,0.10837
0.0022577,0.19766,0.19765,0.079461,0.11595
0.0022865,0.19846,0.19906,0.083255,0.10711
0.0023421,0.2048,0.19547,0.084158,0.11267
0.002383,0.19892,0.19758,0.079459,0.11284
0.0024423,0.19912,0.19679,0.080475,0.1145
0.002446,0.19465,0.20119,0.085521,0.11511
0.0024494,0.20116,0.19803,0.082308,0.10772
0.0024948,0.19687,0.19723,0.081359,0.10993
0.0025343,0.19417,0.19631,0.081869,0.1059
0.0025607,0.1992,0.19984,0.081004,0.11548
0.0025854,0.19294,0.198,0.078127,0.10959
0.0026752,0.1953,0.19787,0.082095,0.11286
0.0027709,0.19796,0.19824,0.083851,0.10621
0.0027811,0.20177,0.20151,0.079693,0.11048
0.0028138,0.19819,0.19532,0.085376,0.1087
0.0028183,0.19409,0.19754,0.086047,0.11014
0.0028249,0.20116,0.19632,0.08088,0.11039
0.0028773,0.19564,0.1972,0.082316,0.11071
0.0029016,0.20061,0.2001,0.082131,0.11449
0.0029962,0.19827,0.1955,0.084474,0.11002
0.0030169,0.19769,0.19868,0.081432,0.11073
0.0030775,0.19942,0.19879,0.085059,0.10829
0.0031727,0.19727,0.2003,0.083946,0.111
0.0032474,0.1984,0.19554,0.084186,0.10966
0.0032644,0.19745,0.1989,0.08558,0.10998
0.0032667,0.19722,0.19579,0.085004,0.10975
0.003348,0.19864,0.19971,0.080961,0.11176
0.0033657,0.19692,0.20032,0.086726,0.11345
0.0034155,0.19624,0.20511,0.083407,0.10772
0.0034404,0.19714,0.19775,0.083971,0.11078
0.0035007,0.2007,0.19972,0.081854,0.11031
0.0035298,0.19956,0.19626,0.080096,0.11207
0.0035383,0.19734,0.19781,0.080817,0.1103
0.0035599,0.19887,0.20115,0.082221,0.10898
0.0036149,0.19767,0.20004,0.085252,0.10569
0.0036582,0.19527,0.20179,0.083719,0.10765
0.0037327,0.19938,0.20192,0.080872,0.11095
0.0038283,0.19886,0.19964,0.081542,0.11377
0.0039015,0.19516,0.19759,0.083496,0.1109
0.00397,0.19918,0.1982,0.085489,0.11366
0.0040015,0.19658,0.2004,0.080836,0.11018
0.0040353,0.19714,0.19616,0.082321,0.11027
0.0040931,0.19948,0.19779,0.08352,0.11303
0.0041752,0.19619,0.20003,0.082102,0.11231
0.004237,0.19684,0.19548,0.082735,0.10896
0.0042457,0.19943,0.19917,0.083921,0.11405
0.0043317,0.20072,0.19693,0.082574,0.11163
0.0044085,0.20171,0.20158,0.084727,0.11092
0.0044814,0.19722,0.19955,0.081512,0.11268
0.0045685,0.19412,0.19175,0.081285,0.11448
0.0046109,0.19826,0.20007,0.081653,0.11104
0.0046916,0.1955,0.19728,0.081142,0.11081
0.0047496,0.19856,0.1988,0.085484,0.1098
0.0048442,0.19671,0.19446,0.083011,0.11212
0.0048946,0.19738,0.20254,0.084747,0.11193
0.0049739,0.19773,0.1991,0.083326,0.11122
0.0050328,0.19765,0.19729,0.084714,0.11095
0.0050595,0.19781,0.19576,0.080589,0.11493
0.0050701,0.196,0.19645,0.084749,0.11186
0.0050817,0.1994,0.2003,0.086183,0.10847
0.0050999,0.19663,0.19777,0.083537,0.11174
0.0051289,0.19339,0.19891,0.083398,0.10767
0.0051808,0.2013,0.19696,0.082733,0.11018
0.0051975,0.19755,0.19845,0.083729,0.11216
0.0052969,0.2021,0.19435,0.081434,0.11392
0.0053397,0.20039,0.20193,0.083223,0.11224
0.0053909,0.19873,0.19929,0.087442,0.1104
0.0054349,0.19909,0.1947,0.083366,0.11073
