cfo,7 snr=0,13 snr=0,7 snr=100,13 snr=100
0,0.23523,0.23789,0.019747,0.27597
8.4879e-06,0.23745,0.23826,0.022373,0.26214
9.8692e-06,0.2382,0.24149,0.022667,0.25071
1.6111e-05,0.23353,0.2366,0.023256,0.26385
1.8331e-05,0.24073,0.23601,0.025412,0.27065
2.2518e-05,0.23598,0.23726,0.025753,0.26014
2.513e-05,0.23815,0.23696,0.026015,0.242
3.0008e-05,0.23819,0.23758,0.029016,0.24931
3.5455e-05,0.23934,0.23808,0.029987,0.25437
3.7303e-05,0.23585,0.23783,0.029593,0.22694
4.4753e-05,0.23788,0.24085,0.033555,0.24171
4.7638e-05,0.23969,0.23558,0.034302,0.24236
4.9863e-05,0.23924,0.23811,0.035547,0.25
5.0333e-05,0.23702,0.2403,0.033869,0.24669
5.0403e-05,0.23484,0.24131,0.033676,0.23601
5.4853e-05,0.24318,0.23886,0.034962,0.2572
6.3631e-05,0.24045,0.23628,0.038256,0.25068
6.7269e-05,0.23936,0.23814,0.039763,0.22809
6.7934e-05,0.23948,0.23438,0.038072,0.24713
7.7397e-05,0.24134,0.23921,0.041118,0.21379
8.4978e-05,0.23656,0.23449,0.042721,0.24234
8.7063e-05,0.24134,0.23599,0.044209,0.24175
9.2181e-05,0.23677,0.23805,0.044636,0.20952
9.514e-05,0.23688,0.23809,0.046976,0.24213
9.9129e-05,0.23862,0.23171,0.047524,0.2493
0.00010377,0.23657,0.23903,0.052637,0.21483
0.00011291,0.23666,0.24026,0.051601,0.22625
0.00012172,0.23665,0.23664,0.057655,0.20854
0.00012993,0.23574,0.23774,0.056982,0.22897
0.00013167,0.23944,0.23718,0.059411,0.22841
0.00014103,0.23635,0.23813,0.059651,0.22836
0.00014126,0.23694,0.23491,0.062617,0.20886
0.00014255,0.23677,0.23764,0.063165,0.21261
0.00014929,0.2358,0.23856,0.064222,0.1998
0.00015611,0.23935,0.24089,0.064413,0.21029
0.00015739,0.23748,0.24063,0.067687,0.23865
0.00015859,0.23625,0.23782,0.062628,0.21765
0.00015865,0.2369,0.23778,0.065584,0.23118
0.00016536,0.23991,0.2339,0.068109,0.22131
0.00016785,0.23752,0.23643,0.070672,0.22847
0.00017012,0.24147,0.23721,0.068289,0.2181
0.00017565,0.23577,0.24116,0.070999,0.23445
0.00017784,0.24179,0.23505,0.072001,0.23141
0.00018331,0.23893,0.23906,0.072731,0.22305
0.00019272,0.23566,0.23879,0.071307,0.20878
0.00020076,0.23974,0.23701,0.081807,0.23304
0.00020327,0.23766,0.23585,0.082324,0.20739
0.00020608,0.23986,0.24042,0.078083,0.21276
0.00021129,0.23738,0.23633,0.07955,0.21599
0.00021903,0.23208,0.23862,0.075688,0.22077
0.00022617,0.23679,0.23626,0.080217,0.20602
0.00022775,0.24026,0.23848,0.080645,0.21203
0.00023371,0.24056,0.23594,0.089275,0.21286
0.00023401,0.2389,0.24081,0.086347,0.21704
0.00024324,0.23897,0.23825,0.088534,0.20834
0.00024556,0.23965,0.23734,0.085693,0.21641
0.00025083,0.24115,0.23638,0.094228,0.22936
0.00026072,0.2363,0.23623,0.088787,0.2155
0.0002608,0.23526,0.23604,0.095279,0.20847
